qL,GLR,pwf
50.00,75.00,1978.00
100.00,75.00,2242.00
150.00,75.00,2403.00
200.00,75.00,2521.00
250.00,75.00,2610.00
300.00,75.00,2688.00
350.00,75.00,2751.00
400.00,75.00,2811.00
450.00,75.00,2859.00
500.00,75.00,2911.00
550.00,75.00,2955.00
600.00,75.00,3001.00
650.00,75.00,3038.00
700.00,75.00,3077.00
750.00,75.00,3116.00
800.00,75.00,3152.00
850.00,75.00,3182.00
900.00,75.00,3229.00
950.00,75.00,3260.00
1000.00,75.00,3293.00
