qL,GLR,pwf
50.00,100.00,1838.00
100.00,100.00,2094.00
150.00,100.00,2254.00
200.00,100.00,2371.00
250.00,100.00,2461.00
300.00,100.00,2541.00
350.00,100.00,2603.00
400.00,100.00,2666.00
450.00,100.00,2714.00
500.00,100.00,2770.00
550.00,100.00,2813.00
600.00,100.00,2861.00
650.00,100.00,2900.00
700.00,100.00,2946.00
750.00,100.00,2981.00
800.00,100.00,3019.00
850.00,100.00,3057.00
900.00,100.00,3093.00
950.00,100.00,3127.00
1000.00,100.00,3165.00
