qL,GLR,pwf
50.00,200.00,1529.00
100.00,200.00,1754.00
150.00,200.00,1901.00
200.00,200.00,2014.00
250.00,200.00,2102.00
300.00,200.00,2178.00
350.00,200.00,2249.00
400.00,200.00,2306.00
450.00,200.00,2363.00
500.00,200.00,2411.00
550.00,200.00,2465.00
600.00,200.00,2506.00
650.00,200.00,2557.00
700.00,200.00,2595.00
750.00,200.00,2639.00
800.00,200.00,2678.00
850.00,200.00,2722.00
900.00,200.00,2756.00
950.00,200.00,2796.00
1000.00,200.00,2834.00
