qL,GLR,pwf
0.00,300.00,4000.00
50.00,300.00,1372.00
100.00,300.00,1576.00
150.00,300.00,1715.00
200.00,300.00,1816.00
250.00,300.00,1905.00
300.00,300.00,1976.00
350.00,300.00,2044.00
400.00,300.00,2101.00
450.00,300.00,2160.00
500.00,300.00,2206.00
550.00,300.00,2259.00
600.00,300.00,2303.00
650.00,300.00,2353.00
700.00,300.00,2391.00
750.00,300.00,2437.00
800.00,300.00,2476.00
850.00,300.00,2519.00
900.00,300.00,2557.00
950.00,300.00,2602.00
1000.00,300.00,2636.00
